candidate_id,full_name,emails,phones,location
CAND00000001,Ayushmaan Padhi,"mygmail@gmail.com, padhiayushmaan@gmail.com","1234567890, +919337158919",India
CAND00000002,Neha Sharma,"neha.sharma@gmail.com, neha.shrma@outlook.com","9898989898, 9123456789",India
CAND00000003,Rahul Verma,,"8877665544",India
CAND00000004,Emily Carter,"emily.carter@gmail.com, e.carter@proton.me","441234567890, 447911223344",UK
CAND00000005,Diego Ramirez,"diego.ramirez@gmail.com","5512345678",Mexico
CAND00000006,Mei Lin,"meilin@outlook.com, mei.lin@gmail.com, mlin@icloud.com","6598765432, 6987654321",Singapore
CAND00000007,Aisha Khan,"aisha.khan@gmail.com","3012345678",USA
CAND00000008,Noah Williams,"noah.williams@gmail.com, noah@protonmail.com","12025550123, 14155550111",USA
CAND00000009,Chloe Martin,"chloe.@martin@gmail.com","33612345678",France
CAND00000010,Kenji Sato,"kenji.sato@gmail.com, k.sato@outlook.com","819012345678",Japan
CAND00000011,Sofia Rossi,"sofia.rossi@gmail.com","393401234567",Italy
CAND00000012,Ahmed El-Sayed,"ahmed.elsayed@gmail.com, a.elsayed@outlook.com","201001122334, 201550667788",Egypt
CAND00000013,Grace Thompson,"grace.thompson@gmail.com, g.thompson@proton.me","6175550123, 7815550199",USA
CAND00000014,Ibrahim Hussein,"ibrahim.hussein@gmail.com","966501234567",Saudi Arabia
CAND00000015,Harper Johnson,"harper.johnson@gmail.com","6465550134",USA
CAND00000016,Mohammad Ali,"mohammad.ali@gmail.com, mohammed.ali@outlook.com","971501234567, 971551234568",UAE
CAND00000017,Lina Johansson,"lina.johansson@gmail.com, lina.j@gmail.com","46701234567, 46711234568",Sweden
CAND00000018,Benjamin Müller,"benjamin.mueller@gmail.com","4915123456789",Germany
CAND00000019,Priya Nair,"priya.nair@gmail.com, priya.nair@outlook.com","8123456789, 9345678901",India
CAND00000020,Victor Nguyen,"victor.nguyen@gmail.com, victor.n@proton.me","84901234567, 901234567",Vietnam
CAND00000021,Riya Gupta,"riya.gupta@gmail.com","9001234567",India
CAND00000022,Santiago Pérez,"santiago.perez@gmail.com, s.perez@outlook.com","521234567890, 551234567891",Mexico
CAND00000023,Ava Brown,"ava.brown@gmail.com","4155550144",USA
CAND00000024,Oliver Smith,"oliver.smith@gmail.com, oliver@protonmail.com","353851234567, 353861234568",Ireland
CAND00000025,Farah Siddiqui,"farah.siddiqui@gmail.com, farah.siddiqui@outlook.com","971501112223",UAE
CAND00000026,Tariq Abdullah,"tariq.abdullah@gmail.com","97433123456",Qatar
CAND00000027,Natalia Kowalska,"natalia.kowalska@gmail.com, nat.kowalska@outlook.com","48123456789, 48765432109",Poland
CAND00000028,Simon Dubois,"simon.dubois@gmail.com","33123456789, 33698765432",France
CAND00000029,Amir Hosseini,"amir.hosseini@gmail.com, amir.h@proton.me, hosseini.amir@outlook.com","989121234567, 989131234568",Iran
CAND00000030,Zaara Malik,"zaara.malik@gmail.com","923001234567",Pakistan

